Subsegmento,Sexo,Region,Edad,Renta,Antiguedad,Internauta,Adicional,Dualidad,Monoproducto,Ctacte,Consumo,Hipotecario,Debito,Cuentas,TC,CUPO_L1,CUPO_L2,CUPO_MX,FlgAct_T12,FlgActCN_T12,FlgActCI_T12,FlgActAN_T12,FlgActAI_T12,FlgActPAT_T12,FlgActCCPC_T12,FlgActCCOT_T12,FlgActCOL_T12,Fac_T12,Txs_T12,FacCN_T12,TxsCN_T12,FacCI_T12,TxsCI_T12,FacAN_T12,TxsAN_T12,FacAI_T12,TxsAI_T12,FacPAT_T12,TxsPAT_T12,FacCCPC_T12,TxsCCPC_T12,FacCCOT_T12,TxsCCOT_T12,FacCOL_T12,TxsCOL_T12,FacDebCom_T12,TxsDebCom_T12,FacDebAtm_T12,TxsDebAtm_T12,Col_T12,ColL1TE_T12,PagoNac_T12,PagoInt_T12,EeccNac_T12,EeccInt_T12,UsoL1_T12,UsoL2_T12,UsoLI_T12,target
170,H,13.0,48,991751.0,18,1,0,0,0,1,0,0,1,1,1,1250000,1230000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152837.0,7.0,222000.0,7.0,375580.0,156474.0,120000.0,0.0,276827.0,0.0,276827.0,110893.0,0.0,0
170,H,13.0,46,440339.0,184,0,0,0,0,1,0,0,1,1,1,1440000,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78595.0,78595.0,40000.0,0.0,118490.0,0.0,79810.87,0.0,0.0,0
160,H,7.0,50,572431.0,63,1,0,1,0,1,0,0,1,2,2,585002,90000.0,900.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,161046.0,12.0,63510.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,97536.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19080.0,5.0,376000.0,12.0,127106.0,0.0,102000.0,0.0,90479.0,0.0,134849.04,0.0,0.0,0
170,H,13.0,43,843556.0,49,0,1,1,0,1,0,0,1,2,4,1680000,700000.0,1000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8554.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8554.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8556.0,2.0,0.0,0.0,2.0,0.0,8556.0,0.0,0.0,1
170,M,9.0,50,675290.0,21,0,0,1,0,1,0,0,1,2,2,1296600,2420000.0,1300.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,4.0,35000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74120.0,4.0,1264000.0,14.0,2463862.0,0.0,95676.0,0.0,156312.0,0.0,166312.0,2359772.0,0.0,0
170,H,13.0,43,1309234.0,14,1,0,0,0,1,0,0,1,1,1,600000,120000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278478.0,21.0,56000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
170,M,13.0,45,1400000.0,13,0,0,0,1,0,0,0,0,1,1,500000,100000.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,1990.0,0.0,1990.0,0.0,0.0,0
151,M,13.0,51,255058.6,109,0,0,0,1,0,0,0,0,1,1,1228000,1450000.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5729.0,0.0,37.0,0.0,37.0,0.0,0.0,0
160,M,9.0,47,386949.0,11,1,0,0,0,1,0,1,1,1,1,450000,60000.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
170,H,13.0,47,674414.0,72,0,0,0,0,1,0,0,1,1,1,2872800,1.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11117.0,0.0,9082.0,0.0,4328.0,0.0,4328.0,7244.0,0.0,0
151,H,6.0,50,655251.6,160,0,1,0,1,0,0,0,0,1,2,1609920,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32089.0,32089.0,40000.0,0.0,33943.0,0.0,33943.0,0.0,0.0,0
170,M,5.0,45,681997.0,31,0,0,1,0,1,0,0,1,2,2,1330000,1330000.0,2250.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,136053.0,9.0,127453.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0,1.0,82773.0,4.0,9790.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,102096.0,0.0,47000.0,0.0,26489.0,0.0,49489.0,93634.0,0.0,0
170,H,13.0,44,2024451.0,7,1,0,0,0,1,0,1,1,1,1,3000000,600000.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
170,M,13.0,51,701547.6,105,1,0,1,0,1,0,0,1,2,2,2301000,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4740.0,1.0,4740.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4740.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17263.0,0.0,15512.0,0.0,6934.0,0.0,6934.0,13944.0,0.0,0
160,H,13.0,48,528152.0,27,1,0,1,0,1,0,0,1,2,2,2160000,320000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546391.0,538591.0,50000.0,0.0,567915.0,0.0,567915.0,0.0,0.0,0
